the minbytes is 67108864, maxbytes is 67108864, iters is 5, warmup_iters is 2
data_size(Bytes): | aveg_time(us): | alg_bandwidth(GB/s): | check_result:
67108864          | 1139.16        | 58.91063             | NULL
67108864          | 1140.28        | 58.85276             | NULL
67108864          | 1139.35        | 58.90111             | NULL
67108864          | 1140.10        | 58.86205             | NULL
67108864          | 1139.38        | 58.89946             | NULL
67108864          | 1140.40        | 58.84678             | NULL
67108864          | 1138.36        | 58.95244             | NULL
67108864          | 1140.37        | 58.84822             | NULL
67108864          | 1139.24        | 58.90670             | NULL
67108864          | 1139.55        | 58.89056             | NULL
67108864          | 1138.77        | 58.93091             | NULL
67108864          | 1140.41        | 58.84616             | NULL
67108864          | 1138.97        | 58.92076             | NULL
67108864          | 1140.00        | 58.86763             | NULL
67108864          | 1139.14        | 58.91166             | NULL
67108864          | 1139.98        | 58.86845             | NULL
67108864          | 1139.12        | 58.91269             | NULL
67108864          | 1140.59        | 58.83708             | NULL
67108864          | 1139.35        | 58.90090             | NULL
67108864          | 1139.91        | 58.87218             | NULL
67108864          | 1139.29        | 58.90421             | NULL
67108864          | 1140.76        | 58.82841             | NULL
67108864          | 1138.72        | 58.93339             | NULL
67108864          | 1139.92        | 58.87176             | NULL
67108864          | 1139.51        | 58.89263             | NULL
67108864          | 1140.28        | 58.85276             | NULL
67108864          | 1138.64        | 58.93753             | NULL
67108864          | 1140.57        | 58.83811             | NULL
67108864          | 1139.60        | 58.88809             | NULL
67108864          | 1140.02        | 58.86660             | NULL
67108864          | 1139.37        | 58.90008             | NULL
67108864          | 1139.90        | 58.87238             | NULL
67108864          | 1138.68        | 58.93567             | NULL
67108864          | 1140.44        | 58.84472             | NULL
67108864          | 1139.08        | 58.91517             | NULL
67108864          | 1140.22        | 58.85607             | NULL
67108864          | 1138.82        | 58.92842             | NULL
67108864          | 1140.23        | 58.85545             | NULL
67108864          | 1139.04        | 58.91704             | NULL
67108864          | 1140.14        | 58.86041             | NULL
67108864          | 1139.18        | 58.90959             | NULL
67108864          | 1140.04        | 58.86556             | NULL
67108864          | 1139.26        | 58.90546             | NULL
67108864          | 1140.10        | 58.86247             | NULL
67108864          | 1138.92        | 58.92304             | NULL
67108864          | 1140.16        | 58.85917             | NULL
67108864          | 1139.40        | 58.89863             | NULL
67108864          | 1140.61        | 58.83584             | NULL
67108864          | 1139.27        | 58.90525             | NULL
67108864          | 1139.92        | 58.87135             | NULL
67108864          | 1139.03        | 58.91766             | NULL
67108864          | 1139.72        | 58.88168             | NULL
67108864          | 1138.99        | 58.91973             | NULL
67108864          | 1140.36        | 58.84905             | NULL
67108864          | 1138.82        | 58.92842             | NULL
67108864          | 1140.51        | 58.84120             | NULL
67108864          | 1138.89        | 58.92470             | NULL
67108864          | 1139.75        | 58.88044             | NULL
67108864          | 1139.22        | 58.90753             | NULL
67108864          | 1140.19        | 58.85751             | NULL
67108864          | 1139.09        | 58.91456             | NULL
67108864          | 1139.60        | 58.88788             | NULL
67108864          | 1139.69        | 58.88333             | NULL
67108864          | 1140.56        | 58.83873             | NULL
67108864          | 1139.60        | 58.88788             | NULL
67108864          | 1140.27        | 58.85338             | NULL
67108864          | 1139.42        | 58.89760             | NULL
67108864          | 1140.22        | 58.85586             | NULL
67108864          | 1139.01        | 58.91849             | NULL
67108864          | 1140.12        | 58.86123             | NULL
67108864          | 1139.11        | 58.91331             | NULL
67108864          | 1140.50        | 58.84162             | NULL
67108864          | 1139.42        | 58.89718             | NULL
67108864          | 1140.13        | 58.86061             | NULL
67108864          | 1139.87        | 58.87404             | NULL
67108864          | 1140.17        | 58.85875             | NULL
67108864          | 1139.31        | 58.90318             | NULL
67108864          | 1140.00        | 58.86722             | NULL
67108864          | 1139.22        | 58.90753             | NULL
67108864          | 1140.26        | 58.85421             | NULL
67108864          | 1139.53        | 58.89181             | NULL
67108864          | 1140.23        | 58.85565             | NULL
67108864          | 1139.37        | 58.89987             | NULL
67108864          | 1139.87        | 58.87404             | NULL
67108864          | 1138.87        | 58.92593             | NULL
67108864          | 1140.10        | 58.86226             | NULL
67108864          | 1139.41        | 58.89780             | NULL
67108864          | 1139.82        | 58.87672             | NULL
67108864          | 1138.86        | 58.92614             | NULL
67108864          | 1139.85        | 58.87527             | NULL
67108864          | 1139.33        | 58.90194             | NULL
67108864          | 1140.37        | 58.84843             | NULL
67108864          | 1139.32        | 58.90277             | NULL
67108864          | 1140.44        | 58.84472             | NULL
67108864          | 1139.46        | 58.89532             | NULL
67108864          | 1140.83        | 58.82449             | NULL
67108864          | 1139.07        | 58.91538             | NULL
67108864          | 1140.61        | 58.83604             | NULL
67108864          | 1139.01        | 58.91869             | NULL
67108864          | 1140.63        | 58.83481             | NULL
67108864          | 1139.37        | 58.89987             | NULL
67108864          | 1139.98        | 58.86845             | NULL
67108864          | 1138.92        | 58.92345             | NULL
67108864          | 1140.25        | 58.85462             | NULL
67108864          | 1139.25        | 58.90608             | NULL
67108864          | 1139.80        | 58.87796             | NULL
67108864          | 1139.45        | 58.89595             | NULL
67108864          | 1139.66        | 58.88478             | NULL
67108864          | 1138.76        | 58.93173             | NULL
67108864          | 1140.13        | 58.86061             | NULL
67108864          | 1139.43        | 58.89677             | NULL
67108864          | 1140.18        | 58.85793             | NULL
67108864          | 1139.53        | 58.89160             | NULL
67108864          | 1140.46        | 58.84388             | NULL
67108864          | 1139.46        | 58.89553             | NULL
67108864          | 1139.92        | 58.87155             | NULL
67108864          | 1138.79        | 58.92987             | NULL
67108864          | 1140.34        | 58.84987             | NULL
67108864          | 1139.59        | 58.88850             | NULL
67108864          | 1139.96        | 58.86929             | NULL
